MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
any file with attachments about movies dated in may	FILES	any  file  with <attachment> attachments </attachment> about <keyword> movies </keyword> dated in <start_date> may </start_date>	search_email
file from dwight kruger with vstx attachments	FILES	 file  from <contact_name_from> dwight kruger </contact_name_from> with <attachment_type> vstx </attachment_type> <attachment> attachments </attachment>	search_email
messages including attachments	FILES	messages including <attachment> attachments </attachment>	search_email
file with attachment from last two weeks	FILES	 file  with <attachment> attachment </attachment> from <start_date> last two weeks </start_date>	search_email
file from jack that includes an attachment	FILES	 file  from <contact_name_from> jack </contact_name_from> that includes an <attachment> attachment </attachment>	search_email
attachment with realtor file	FILES	<attachment> attachment </attachment> with <keyword> realtor </keyword>  file 	search_email
show file with vsdx attachments from marie	FILES	show  file  with <attachment_type> vsdx </attachment_type> <attachment> attachments </attachment> from <contact_name_from> marie </contact_name_from>	search_email
files with attachment from ben in last week	FILES	 files  with <attachment> attachment </attachment> from <contact_name_from> ben </contact_name_from> in <start_date> last week </start_date>	search_email
from shuyin about planning with attachment	FILES	from <contact_name_from> shuyin </contact_name_from> about <keyword> planning </keyword> with <attachment> attachment </attachment>	search_email
search file containing attachment	FILES	search  file  containing <attachment> attachment </attachment>	search_email
files with robertson attachment	FILES	 files  with <contact_name> robertson </contact_name> <attachment> attachment </attachment>	search_email
file attachment from saru to kelp	FILES	 file  <attachment> attachment </attachment> from <contact_name_from> saru </contact_name_from> to <contact_name_to> kelp </contact_name_to>	search_email
bring up file with sheet attachments	FILES	bring up  file  with <attachment_type> sheet </attachment_type> <attachment> attachments </attachment>	search_email
sent file with attachments	FILES	<destination_folder> sent </destination_folder>  file  with <attachment> attachments </attachment>	search_email
files with attachment about pop singers	FILES	 files  with <attachment> attachment </attachment> about <keyword> pop singers </keyword>	search_email
sent to bill with attachment	FILES	sent to <contact_name_to> bill </contact_name_to> with <attachment> attachment </attachment>	search_email
look for attachments in file from nancy	FILES	look for <attachment> attachments </attachment> in  file  from <contact_name_from> nancy </contact_name_from>	search_email
january files with an attachment	FILES	<start_date> january </start_date>  files  with an <attachment> attachment </attachment>	search_email
only file s that have attachments	FILES	<emailsearch_other> only </emailsearch_other>  file  s that have <attachment> attachments </attachment>	search_email
files received with attachments from jan 1 to jan 7 2020	FILES	 files  received with <attachment> attachments </attachment> from <start_date> jan 1 </start_date> to <end_date> jan 7 2020 </end_date>	search_email
files from aclu with attachment monthly gift	FILES	 files  from <contact_name_from> aclu </contact_name_from> with <attachment> attachment </attachment> <keyword> monthly gift </keyword>	search_email
documents sent attachments	FILES	<attachment_type> documents </attachment_type> sent <attachment> attachments </attachment>	search_email
file with attachments that i have	FILES	 file  with <attachment> attachments </attachment> that i have	search_email
files with attachments from john	FILES	 files  with <attachment> attachments </attachment> from <contact_name_from> john </contact_name_from>	search_email
please show me attachments in files	FILES	please show me <attachment> attachments </attachment> in  files 	search_email
messages from dave with ppt attachments	FILES	messages from <contact_name_from> dave </contact_name_from> with <attachment_type> ppt </attachment_type> <attachment> attachments </attachment>	search_email
from maynard to brian with attachment	FILES	from <contact_name_from> maynard </contact_name_from> to <contact_name_to> brian </contact_name_to> with <attachment> attachment </attachment>	search_email
bring up file with worksheet attachments	FILES	bring up  file  with <attachment_type> worksheet </attachment_type> <attachment> attachments </attachment>	search_email
files from last month containing an attachment about a party	FILES	 files  from <start_date> last month </start_date> containing an <attachment> attachment </attachment> about a <keyword> party </keyword>	search_email
w9 vsd attachment	FILES	<keyword> w9 </keyword> <attachment_type> vsd </attachment_type> <attachment> attachment </attachment>	search_email
words attachments sent to jim	FILES	<attachment_type> words </attachment_type> <attachment> attachments </attachment> sent to <contact_name_to> jim </contact_name_to>	search_email
show file with pdf attachment	FILES	show  file  with <attachment_type> pdf </attachment_type> <attachment> attachment </attachment>	search_email
document attachments from john	FILES	<attachment_type> document </attachment_type> <attachment> attachments </attachment> from <contact_name_from> john </contact_name_from>	search_email
files form rudy brown with attachment	FILES	 files  form <contact_name_from> rudy brown </contact_name_from> with <attachment> attachment </attachment>	search_email
file for my birthday with attachments	FILES	 file  for my <keyword> birthday </keyword> with <attachment> attachments </attachment>	search_email
